age,job,marital,education,balance,contact,campaign,previous,poutcome,purchase_product,purchase_service
56,services,divorced,secondary,43740,telephone,3,6,success,1,0
46,technician,married,tertiary,39075,telephone,17,8,failure,0,0
32,management,married,tertiary,2956,telephone,28,5,unknown,0,1
60,admin,married,primary,8195,unknown,19,7,unknown,0,0
25,services,married,tertiary,15076,cellular,14,5,success,1,1
38,admin,married,primary,-895,cellular,22,1,success,0,0
56,admin,single,primary,49313,telephone,23,0,failure,0,0
36,admin,divorced,primary,13417,telephone,8,4,failure,0,0
40,blue-collar,single,secondary,22729,telephone,13,8,success,1,1
28,blue-collar,married,secondary,44956,telephone,27,7,unknown,0,0
28,admin,married,primary,28099,cellular,20,3,failure,0,1
41,services,married,tertiary,30598,unknown,3,4,success,0,0
53,management,single,primary,27961,unknown,5,4,success,0,1
57,management,single,tertiary,10602,unknown,9,5,unknown,1,0
41,technician,married,primary,7256,unknown,29,2,success,1,0
20,services,single,tertiary,18584,telephone,6,4,success,0,1
39,blue-collar,single,secondary,44980,telephone,25,1,failure,1,0
19,admin,married,tertiary,32681,telephone,22,9,success,0,0
41,technician,single,primary,23792,unknown,2,0,success,0,0
61,management,divorced,secondary,19904,telephone,13,0,failure,0,1
47,blue-collar,divorced,tertiary,41361,telephone,5,9,unknown,0,1
55,blue-collar,divorced,tertiary,32540,cellular,28,6,unknown,1,0
19,admin,divorced,tertiary,24536,cellular,27,1,failure,0,0
38,management,married,tertiary,17164,telephone,25,3,failure,0,1
50,services,married,tertiary,10996,cellular,8,4,unknown,0,0
29,blue-collar,married,secondary,871,cellular,23,6,unknown,0,1
39,admin,divorced,secondary,44002,telephone,1,1,unknown,0,0
61,services,divorced,secondary,47812,telephone,20,5,unknown,0,1
42,management,single,secondary,20626,telephone,12,0,unknown,1,1
44,blue-collar,single,primary,8521,telephone,23,6,failure,0,1
59,services,divorced,secondary,41410,unknown,11,8,success,0,1
45,services,divorced,tertiary,-868,unknown,7,4,unknown,1,0
33,services,divorced,tertiary,31467,telephone,15,4,unknown,1,0
32,blue-collar,divorced,secondary,12534,cellular,22,3,success,0,0
64,blue-collar,single,tertiary,21854,telephone,24,2,success,1,1
61,technician,divorced,secondary,40998,telephone,11,8,success,0,1
20,management,single,tertiary,37065,cellular,29,4,success,0,1
54,admin,divorced,primary,43607,unknown,22,7,success,0,0
24,services,divorced,primary,5812,telephone,26,8,success,1,0
38,technician,divorced,secondary,2557,telephone,16,4,failure,0,0
26,admin,single,secondary,179,unknown,3,9,success,0,1
56,technician,single,secondary,41798,unknown,20,8,success,0,0
35,blue-collar,married,tertiary,7065,cellular,14,1,failure,1,0
21,services,divorced,secondary,6275,unknown,3,8,success,0,1
42,admin,married,primary,48574,unknown,1,3,unknown,0,0
31,admin,married,tertiary,45857,unknown,26,5,unknown,0,0
26,admin,single,secondary,33948,cellular,21,5,success,1,0
43,admin,single,tertiary,18700,unknown,15,5,failure,1,1
19,admin,married,tertiary,37464,unknown,1,1,unknown,0,0
37,technician,divorced,secondary,40351,cellular,17,6,failure,0,1
45,services,single,tertiary,25794,unknown,2,5,unknown,1,0
64,blue-collar,divorced,primary,26783,unknown,29,0,success,0,1
24,blue-collar,divorced,primary,14998,cellular,20,1,failure,1,0
61,blue-collar,married,tertiary,11869,telephone,6,6,failure,1,0
25,blue-collar,married,secondary,42525,cellular,8,0,failure,0,1
64,technician,married,tertiary,26152,unknown,29,0,unknown,0,1
52,management,married,primary,18954,unknown,16,0,unknown,0,0
31,services,single,tertiary,29555,unknown,19,7,unknown,0,1
34,admin,single,tertiary,14654,cellular,1,3,success,0,0
53,management,married,primary,43026,unknown,3,3,unknown,0,1
57,blue-collar,single,tertiary,33236,unknown,28,1,success,0,1
21,management,married,tertiary,44976,cellular,3,0,failure,0,0
19,services,divorced,secondary,13042,telephone,5,9,failure,0,1
23,admin,divorced,secondary,23966,telephone,27,8,success,0,0
59,admin,divorced,primary,46407,unknown,12,6,unknown,1,0
21,services,married,primary,42314,cellular,12,3,success,0,1
46,services,divorced,primary,43095,unknown,20,5,failure,1,1
35,blue-collar,single,secondary,12270,cellular,13,1,failure,0,0
43,admin,divorced,primary,28908,cellular,20,6,success,0,0
61,management,divorced,primary,13523,telephone,9,1,unknown,1,0
51,technician,divorced,primary,45068,telephone,7,9,unknown,0,1
